counts,revenue,meter_expired,outside_lines,off_str,fine_$63,fine_$58,single_type,flat,tod,jump
260,16380.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
23,1449.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
260,16380.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
28,1624.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
15,945.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
259,16317.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
47,2961.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
259,16317.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
28,1764.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
258,16254.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
60,3780.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
13,819.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
12,756.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
257,16191.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
256,16128.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
77,4851.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
40,2520.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
24,1512.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
256,16128.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
54,3402.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
256,16128.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
15,945.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
255,16065.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
254,16002.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
44,2772.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
253,15939.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
63,3969.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
38,2394.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
251,15813.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
251,15813.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
251,15813.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
250,15750.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
12,756.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
250,15750.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
15,870.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
11,693.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
248,15624.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
69,4347.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
